Date,Close/Last,Volume,Open,High,Low
01/14/2022,$100.04,3728107,$101.11,$103.00,$98.91
01/13/2022,$102.60,2298061,$102.21,$104.0388,$101.6001
01/12/2022,$102.68,3009007,$104.12,$105.128,$100.8337
01/11/2022,$104.09,2524595,$102.60,$104.90,$101.96
01/10/2022,$102.75,5354128,$101.74,$102.96,$98.22
01/07/2022,$102.50,3137122,$103.02,$104.83,$101.915
01/06/2022,$102.88,3565519,$103.03,$103.44,$100.02
01/05/2022,$103.00,2818191,$105.30,$106.35,$102.91
01/04/2022,$105.14,4085528,$103.03,$106.35,$102.78
01/03/2022,$102.12,2829004,$102.43,$103.58,$101.45
12/31/2021,$101.60,2037955,$101.37,$102.27,$100.77
12/30/2021,$101.55,2258391,$100.88,$102.77,$100.87
12/29/2021,$100.86,2599871,$99.47,$101.63,$99.47
12/28/2021,$99.52,2148905,$99.00,$100.63,$98.88
12/27/2021,$99.08,2511627,$98.88,$99.48,$97.27
12/23/2021,$98.08,2488242,$97.72,$98.55,$96.11
12/22/2021,$97.37,2331398,$97.89,$99.01,$96.70
12/21/2021,$97.48,2887938,$96.49,$98.35,$96.49
12/20/2021,$95.77,4640172,$98.01,$98.70,$94.54
12/17/2021,$100.03,5112548,$100.31,$101.24,$99.1774
12/16/2021,$100.22,3600455,$102.29,$103.125,$100.07
12/15/2021,$102.49,3237997,$100.79,$102.615,$100.35
12/14/2021,$101.37,3924362,$99.24,$102.95,$98.97
12/13/2021,$100.24,4043454,$103.00,$103.41,$98.70
12/10/2021,$103.82,3169509,$104.35,$104.665,$102.15
12/09/2021,$104.38,2934177,$106.81,$107.30,$103.832
12/08/2021,$106.93,2525590,$105.74,$107.25,$105.64
12/07/2021,$106.68,3097468,$106.61,$108.25,$106.32
12/06/2021,$104.66,4489385,$107.24,$108.99,$103.80
12/03/2021,$105.87,4048764,$104.54,$106.05,$103.65
12/02/2021,$103.92,4235756,$104.24,$105.82,$102.625
12/01/2021,$102.25,4550237,$108.14,$108.41,$102.23
11/30/2021,$106.86,5747856,$110.01,$111.65,$106.27
11/29/2021,$110.95,4595728,$115.80,$116.00,$110.30
11/26/2021,$114.77,2345969,$114.60,$116.22,$113.88
11/24/2021,$116.69,5990012,$120.22,$121.87,$115.90
11/23/2021,$121.01,15941010,$116.00,$121.44,$115.00
11/22/2021,$138.00,5417609,$137.22,$141.97,$137.22
11/19/2021,$136.13,1955641,$136.18,$137.5686,$134.995
11/18/2021,$135.61,2357754,$134.49,$136.12,$133.79
11/17/2021,$132.86,1928459,$134.33,$135.26,$132.25
11/16/2021,$134.93,2232033,$132.59,$135.601,$132.28
11/15/2021,$132.36,2681913,$136.74,$136.779,$131.81
11/12/2021,$135.63,2313531,$133.345,$136.74,$133.05
11/11/2021,$132.90,1843348,$131.37,$133.55,$131.32
11/10/2021,$131.25,1924623,$132.34,$133.42,$131.16
11/09/2021,$132.94,2025453,$129.67,$133.27,$129.62
11/08/2021,$130.09,2595198,$129.00,$130.39,$128.32
11/05/2021,$129.07,2217390,$129.95,$130.55,$128.35
11/04/2021,$128.61,2952510,$126.00,$128.81,$125.43
11/03/2021,$125.10,2224933,$124.10,$126.09,$123.70
11/02/2021,$123.83,1794293,$123.83,$124.61,$122.98
11/01/2021,$123.91,1901377,$123.00,$124.21,$122.70
10/29/2021,$122.24,2283773,$120.65,$123.46,$120.505
10/28/2021,$121.12,1646300,$119.67,$121.43,$119.1814
10/27/2021,$118.75,2172988,$121.24,$122.25,$118.66
10/26/2021,$121.23,2605774,$121.33,$123.72,$121.13
10/25/2021,$120.48,2225992,$118.68,$121.58,$118.19
10/22/2021,$118.39,1736185,$117.55,$118.5656,$116.90
10/21/2021,$117.60,1756052,$114.41,$117.67,$114.41
10/20/2021,$114.53,1588751,$113.87,$115.39,$113.87
10/19/2021,$113.94,2087847,$116.24,$116.65,$113.89
10/18/2021,$115.61,2392933,$112.78,$116.38,$112.7306
10/15/2021,$113.64,2133544,$113.56,$114.69,$113.10
10/14/2021,$112.66,2140630,$111.37,$113.10,$110.175
10/13/2021,$110.78,2069164,$109.51,$111.40,$108.09
10/12/2021,$109.32,1604964,$109.53,$110.69,$108.79
10/11/2021,$108.88,1790484,$107.65,$109.86,$107.255
10/08/2021,$107.25,1729191,$108.00,$110.3789,$107.08
10/07/2021,$107.59,2188169,$107.20,$109.225,$106.94
10/06/2021,$105.77,1808955,$105.67,$106.84,$104.77
10/05/2021,$106.37,2050116,$105.72,$107.74,$105.55
10/04/2021,$105.49,1739025,$105.10,$106.93,$104.84
10/01/2021,$105.31,2134120,$106.68,$106.86,$103.42
09/30/2021,$105.71,3692936,$108.15,$108.65,$105.35
09/29/2021,$109.43,1771138,$109.75,$110.29,$108.08
09/28/2021,$109.39,2933793,$111.12,$111.80,$107.372
09/27/2021,$110.18,4675022,$105.30,$110.86,$105.30
09/24/2021,$104.74,3377751,$106.07,$106.19,$104.2106
09/23/2021,$106.17,2053877,$107.50,$107.9599,$106.10
09/22/2021,$106.80,1500742,$107.73,$108.57,$106.50
09/21/2021,$106.89,2240898,$107.00,$108.15,$105.90
09/20/2021,$106.67,2101635,$108.10,$109.32,$105.33
09/17/2021,$109.62,2946200,$109.39,$111.11,$109.18
09/16/2021,$109.56,1511146,$108.82,$110.17,$108.69
09/15/2021,$109.27,2068826,$109.87,$110.085,$108.66
09/14/2021,$110.17,1564810,$112.54,$112.54,$110.02
